id P0_x P0_y P1_x P1_y P2_x P2_y P3_x P3_y
E14 -27.99 42.86 -27.99 37.82 -30.19 37.79 -30.22 42.88
E15 -31.67 42.89 -31.61 37.78 -33.81 37.75 -33.89 42.89
E16 -34.06 42.87 -34.00 37.76 -36.22 37.73 -36.28 42.89
E17 -36.44 42.86 -36.39 37.76 -38.60 37.74 -38.66 42.89
E18 -40.09 42.87 -40.13 37.75 -42.06 37.73 -42.08 42.84
E19 -44.35 42.82 -44.40 37.71 -46.61 37.69 -46.57 42.84
E20 -46.74 42.83 -46.81 37.72 -49.01 37.70 -48.97 42.86
E21 -49.16 42.81 -49.21 37.70 -51.43 37.68 -51.38 42.84
E22 -53.53 42.85 -53.47 37.68 -55.44 37.66 -55.47 42.79
E23 -56.87 42.83 -56.87 37.65 -59.09 37.62 -59.10 42.83
E24 -59.25 42.81 -59.28 37.63 -61.48 37.60 -61.48 42.82
E25 -61.62 42.82 -61.66 37.64 -63.88 37.61 -63.87 42.82
E26 -65.24 42.75 -65.22 37.58 -67.46 37.58 -67.48 42.76
E27 -67.66 42.79 -67.64 37.61 -69.87 37.61 -69.88 42.78
E28 -70.04 42.76 -70.03 37.58 -72.26 37.58 -72.27 42.75
E29 -76.05 42.66 -76.07 37.51 -78.29 37.51 -78.29 42.67
E30 -78.45 42.71 -78.46 37.55 -80.68 37.55 -80.68 42.71
E31 -82.04 42.67 -81.95 37.51 -84.23 37.53 -84.30 42.66
E32 -84.45 42.60 -84.43 37.49 -86.64 37.49 -86.67 42.63
E33 -86.84 42.64 -86.80 37.52 -89.02 37.52 -89.06 42.65
E34 -89.12 50.34 -89.19 55.49 -86.94 55.50 -86.89 50.33
E35 -86.70 50.35 -86.77 55.49 -84.51 55.50 -84.48 50.34
E36 -84.32 50.32 -84.34 55.49 -82.10 55.49 -82.05 50.32
E37 -80.72 50.36 -80.74 55.53 -78.49 55.55 -78.45 50.38
E38 -78.32 50.38 -78.34 55.54 -76.10 55.57 -76.07 50.38
E39 -75.92 50.39 -75.93 55.56 -73.69 55.54 -73.68 50.39
E40 -72.33 50.41 -72.30 55.58 -70.08 55.58 -70.07 50.42
E41 -69.90 50.41 -69.89 55.57 -67.67 55.59 -67.67 50.42
E42 -67.50 50.42 -67.49 55.59 -65.29 55.60 -65.28 50.41
E43 -63.96 50.45 -63.97 55.58 -61.72 55.58 -61.75 50.45
E44 -61.60 50.46 -61.55 55.58 -59.34 55.59 -59.35 50.48
E45 -59.18 50.47 -59.16 55.59 -56.91 55.59 -56.94 50.52
E46 -42.18 50.41 -42.15 55.69 -39.92 55.66 -39.95 50.47
E47 -38.74 50.44 -38.70 55.72 -36.47 55.69 -36.51 50.49
